Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Ensemble Learning Based Quantum Text Classifiers,New Trends in Database and Information Systems,,,,10.1007/978-3-031-42941-5_35,Yousra BouakbaHacene Belhadef,2023,https://link.springer.com/chapter/10.1007/978-3-031-42941-5_35,Conference paper
Hybrid classical-quantum transfer learning for text classification,Quantum Machine Intelligence,,,,10.1007/s42484-024-00147-2,Ebrahim Ardeshir-LarijaniMohammad Mahdi Nasiri Fatmehsari,2024,https://link.springer.com/article/10.1007/s42484-024-00147-2,Article
Grammar-aware sentence classification on quantum computers,Quantum Machine Intelligence,,,,10.1007/s42484-023-00097-1,Konstantinos MeichanetzidisAlexis ToumiGiovanni de FeliceBob Coecke,2023,https://link.springer.com/article/10.1007/s42484-023-00097-1,Article
A survey on quantum deep learning,The Journal of Supercomputing,,,,10.1007/s11227-025-07083-3,Huaiguang WuJiahui ZhangLijie WangDaiyi LiDelong KongYucan Han,2025,https://link.springer.com/article/10.1007/s11227-025-07083-3,Article
Quantum Artificial Intelligence: A Brief Survey,KI - Künstliche Intelligenz,,,,10.1007/s13218-024-00871-8,Matthias KluschJörg LässigDaniel MüssigAntonio MacalusoFrank K. Wilhelm,2024,https://link.springer.com/article/10.1007/s13218-024-00871-8,Article
Exploring the&#xa0;Capabilities and&#xa0;Limitations of&#xa0;VQC and&#xa0;QSVC for&#xa0;Sentiment Analysis on&#xa0;Real-World and&#xa0;Synthetic Datasets,New Trends in Database and Information Systems,,,,10.1007/978-3-031-42941-5_36,Hacene BelhadefHala BenchihebLynda Lebdjiri,2023,https://link.springer.com/chapter/10.1007/978-3-031-42941-5_36,Conference paper
Implications of Deep Circuits in Improving Quality of Quantum Question Answering,Quantum Computing: A Shift from Bits to Qubits,,,,10.1007/978-981-19-9530-9_23,Pragya KatyayanNisheeth Joshi,2023,https://link.springer.com/chapter/10.1007/978-981-19-9530-9_23,Chapter
Hamiltonian deep neural network fostered sentiment analysis approach on product reviews,"Signal, Image and Video Processing",,,,10.1007/s11760-024-03014-6,Narahari AjmeeraP. Kamakshi,2024,https://link.springer.com/article/10.1007/s11760-024-03014-6,Article
Comparing the Performance of LLMs in RAG-Based Question-Answering: A Case Study in Computer Science Literature,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_26,Ranul DayarathneUvini RanaweeraUpeksha Ganegoda,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_26,Conference paper
Deep Dive Machine Translation,European Language Equality,,,,10.1007/978-3-031-28819-7_40,Inguna SkadiņaAndrejs VasiḷjevsMārcis PinnisAivars BērziņšNora AranberriJoachim Van den BogaertSally O’ConnorMercedes García-MartínezIakes GoenagaJan HajičManuel HerranzChristian LieskeMartin PopelMaja PopovićSheila CastilhoFederico GaspariRudolf RosaRiccardo SuperboAndy Way,2023,https://link.springer.com/chapter/10.1007/978-3-031-28819-7_40,Chapter
"From rule-based models to deep learning transformers architectures for natural language processing and sign language translation systems: survey, taxonomy and performance evaluation",Artificial Intelligence Review,,,,10.1007/s10462-024-10895-z,Nada ShahinLeila Ismail,2024,https://link.springer.com/article/10.1007/s10462-024-10895-z,Article
"A Survey on LLMs: Evolution, Applications, and Future Frontiers",Generative AI: Current Trends and Applications,,,,10.1007/978-981-97-8460-8_14,Koppuravuri HarshaKanakam Tarun KumarD. SumathiE. Ajith Jubilson,2024,https://link.springer.com/chapter/10.1007/978-981-97-8460-8_14,Chapter
What Happened in&#xa0;CLEF $$\ldots $$ For Another While?,"Experimental IR Meets Multilinguality, Multimodality, and Interaction",,,,10.1007/978-3-031-71736-9_1,Nicola Ferro,2024,https://link.springer.com/chapter/10.1007/978-3-031-71736-9_1,Conference paper
Classical-quantum hybrid transfer learning for adverse drug reaction detection from social media posts,Journal of Computational Social Science,,,,10.1007/s42001-024-00276-5,Arijit DeyJitendra Nath ShrivastavaChandan Kumar,2024,https://link.springer.com/article/10.1007/s42001-024-00276-5,Article
Quantum Influence on Social Media Content: Employing Machine Learning for Sentiment Analysis,Machine Learning Algorithms,,,,10.1007/978-3-031-75861-4_5,LateshwariSushil Kumar Bansal,2025,https://link.springer.com/chapter/10.1007/978-3-031-75861-4_5,Conference paper
Quantum computing and machine learning for Arabic language sentiment classification in social media,Scientific Reports,,,,10.1038/s41598-023-44113-7,Ahmed OmarTarek Abd El-Hafeez,2023,https://link.springer.com/article/10.1038/s41598-023-44113-7,Article
Recommending Personalized Video Lecture Augmentations with Tagged Community Question Answers,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00459-9,Krishnendu Ghosh,2025,https://link.springer.com/article/10.1007/s40593-025-00459-9,Article
Introduction to Mechatronics,Mechatronics,,,,10.1007/978-981-97-7117-2_1,Ahmed FarhanProtik BaruaRezwan Us SaleheenRumana TasnimMd. Mizanur RahmanMustafizur Rahman,2024,https://link.springer.com/chapter/10.1007/978-981-97-7117-2_1,Chapter
Natural Language Processing (NLP) Based Innovations for Smart Healthcare Applications in Healthcare 4.0,Enabling Technologies for Effective Planning and Management in Sustainable Smart Cities,,,,10.1007/978-3-031-22922-0_5,Nemika TyagiBharat Bhushan,2023,https://link.springer.com/chapter/10.1007/978-3-031-22922-0_5,Chapter
Developments in Artificial Intelligence and Linguistics,The Book of Chatbots,,,,10.1007/978-3-031-51004-5_2,Robert Ciesla,2024,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_2,Chapter
Quantum Algorithms: Application and&#xa0;Feasibility,"Product-Focused Software Process Improvement. Industry-, Workshop-, and Doctoral Symposium Papers",,,,10.1007/978-3-031-78392-0_10,Duong BuiKimmo HalunenNhan NguyenJuha Röning,2025,https://link.springer.com/chapter/10.1007/978-3-031-78392-0_10,Conference paper
Distributed hybrid quantum-classical performance prediction for hyperparameter optimization,Quantum Machine Intelligence,,,,10.1007/s42484-024-00198-5,Eric WulffJuan Pablo Garcia AmboageMarcel AachThorsteinn Eli GislasonThorsteinn Kristinn IngolfssonTomas Kristinn IngolfssonEdoardo PasettoAmer DelilbasicMorris RiedelRakesh SarmaMaria GironeAndreas Lintermann,2024,https://link.springer.com/article/10.1007/s42484-024-00198-5,Article
Unveiling the frontiers of deep learning: Innovations shaping diverse domains,Applied Intelligence,,,,10.1007/s10489-025-06259-x,Shams Forruque AhmedMd. Sakib Bin AlamMaliha KabirShaila AfrinSabiha Jannat RafaAanushka MehjabinAmir H. Gandomi,2025,https://link.springer.com/article/10.1007/s10489-025-06259-x,Article
Proposed Model for QCNN-Based Sentimental Short Sentences Classification,Advances in Intelligent Computing Techniques and Applications,,,,10.1007/978-3-031-59707-7_19,Nour El Houda OuamaneHacene Belhadef,2024,https://link.springer.com/chapter/10.1007/978-3-031-59707-7_19,Conference paper
Artificial Intelligence and Machine Learning in Tropical Disease Management,Technological Innovations for Managing Tropical  Diseases,,,,10.1007/978-3-031-82622-1_7,Matthew Chidozie OgwuSylvester Chibueze Izah,2025,https://link.springer.com/chapter/10.1007/978-3-031-82622-1_7,Chapter
QuMIN: quantum multi-modal data fusion for humor detection,Multimedia Tools and Applications,,,,10.1007/s11042-024-19790-9,Arpan PhukanAnas Anwarul Haq KhanAsif Ekbal,2024,https://link.springer.com/article/10.1007/s11042-024-19790-9,Article
Artificial Intelligence Evolution: The Rise of Generative AI,The 22nd International Conference on Information Technology-New Generations (ITNG 2025),,,,10.1007/978-3-031-89063-5_36,Amber WilliamsDextany HatfieldBharat S. Rawal,2025,https://link.springer.com/chapter/10.1007/978-3-031-89063-5_36,Conference paper
Quantum computations for disambiguation and question answering,Quantum Information Processing,,,,10.1007/s11128-022-03441-9,A. D. CorreiaM. MoortgatH. T. C. Stoof,2022,https://link.springer.com/article/10.1007/s11128-022-03441-9,Article
Aspect Based Sentiment Analysis Using Long-Short Term Memory and Weighted N-Gram Graph-Cut,Cognitive Computation,,,,10.1007/s12559-022-10104-5,Basanti Pal NandiAmita JainDevendra Kumar Tayal,2023,https://link.springer.com/article/10.1007/s12559-022-10104-5,Article
An introduction to AI,The Decision Maker's Handbook to Data Science,,,,10.1007/979-8-8688-0279-9_8,Stylianos Kampakis,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0279-9_8,Chapter
Quantum Computing: Promises and Challenges,Personalized Medicine Meets Artificial Intelligence,,,,10.1007/978-3-031-32614-1_15,Stefano Patarnello,2023,https://link.springer.com/chapter/10.1007/978-3-031-32614-1_15,Chapter
From Classical to Quantum: Evolution of Information Retrieval Systems,Trends in Sustainable Computing and Machine Intelligence,,,,10.1007/978-981-99-9436-6_21,Manan MehtaJason D’souzaMahek KariaVedant KadamMihir LadS. Shanthi Therese,2024,https://link.springer.com/chapter/10.1007/978-981-99-9436-6_21,Conference paper
Quantum computing and quantum-inspired techniques for feature subset selection: a review,Knowledge and Information Systems,,,,10.1007/s10115-024-02282-5,Ashis Kumar MandalBasabi Chakraborty,2024,https://link.springer.com/article/10.1007/s10115-024-02282-5,Article
Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms,Knowledge and Information Systems,,,,10.1007/s10115-025-02429-y,Nachaat Mohamed,2025,https://link.springer.com/article/10.1007/s10115-025-02429-y,Article
The Performance of GPT-3.5 in Summarizing Scientific and News Articles,Data Science and Emerging Technologies,,,,10.1007/978-981-97-0293-0_4,Sabkat ArshadMuhammad YaqoobTahir Mehmood,2024,https://link.springer.com/chapter/10.1007/978-981-97-0293-0_4,Conference paper
Quantum Computing: Transforming Cybersecurity and Social Media in the Digital Age,AI-Driven: Social Media Analytics and Cybersecurity,,,,10.1007/978-3-031-80334-5_9,Syed Atif Ali Shah,2025,https://link.springer.com/chapter/10.1007/978-3-031-80334-5_9,Chapter
Probing Cross-lingual Transfer of&#xa0;XLM Multi-language Model,"Advances in Internet, Data & Web Technologies",,,,10.1007/978-3-031-53555-0_21,Raffaele GuarasciStefano SilvestriMassimo Esposito,2024,https://link.springer.com/chapter/10.1007/978-3-031-53555-0_21,Conference paper
Industry 4.0 and Key Drivers,Shaping Tomorrow: Thin Films and 3D Printing in the Fourth Industrial Revolution 1,,,,10.1007/978-3-031-84124-8_1,Kingsley UkobaTien-Chien Jen,2025,https://link.springer.com/chapter/10.1007/978-3-031-84124-8_1,Chapter
A quantum residual attention neural network for high-precision material property prediction,Quantum Information Processing,,,,10.1007/s11128-025-04670-4,Qingchuan YangWenjun ZhangLianfu Wei,2025,https://link.springer.com/article/10.1007/s11128-025-04670-4,Article
Technologies of the Fourth Industrial Revolution,Enterprise Risk Management in the Fourth Industrial Revolution,,,,10.1007/978-981-99-6307-2_3,Tankiso MoloiTshilidzi Marwala,2023,https://link.springer.com/chapter/10.1007/978-981-99-6307-2_3,Chapter
Comparative investigation of quantum and classical kernel functions applied in support vector machine algorithms,Quantum Information Processing,,,,10.1007/s11128-025-04728-3,Ghada AbdulsalamIrfan Ahmad,2025,https://link.springer.com/article/10.1007/s11128-025-04728-3,Article
Sentiment Analysis for&#xa0;Early Warnings and&#xa0;Disaster Management: A&#xa0;Survey,Advances in Social Networks Analysis and Mining,,,,10.1007/978-3-031-85386-9_13,Raffaele Guarasci,2025,https://link.springer.com/chapter/10.1007/978-3-031-85386-9_13,Conference paper
Textual sentiment analysis and description characteristics in crowdfunding success: The case of cybersecurity and IoT industries,Electronic Markets,,,,10.1007/s12525-024-00712-4,Abraham YosipofNetanel DroriOr ElroyYannis Pierraki,2024,https://link.springer.com/article/10.1007/s12525-024-00712-4,Article
Multi-modal text recognition and encryption in scanned document images,The Journal of Supercomputing,,,,10.1007/s11227-022-04912-7,Maemoona KayaniAbdul GhafoorM. Mohsin Riaz,2022,https://link.springer.com/article/10.1007/s11227-022-04912-7,Article
An Introduction to Deep Learning,Deep Learning-Powered Technologies,,,,10.1007/978-3-031-35737-4_1,Khaled Salah Mohamed,2023,https://link.springer.com/chapter/10.1007/978-3-031-35737-4_1,Chapter
Synopsis of the Enterprise Risk Management in the Fourth Industrial Revolution,Enterprise Risk Management in the Fourth Industrial Revolution,,,,10.1007/978-981-99-6307-2_9,Tankiso MoloiTshilidzi Marwala,2023,https://link.springer.com/chapter/10.1007/978-981-99-6307-2_9,Chapter
How to Make Qubits Speak,Quantum Computing in the Arts and Humanities,,,,10.1007/978-3-030-95538-0_8,Bob CoeckeGiovanni de FeliceKonstantinos MeichanetzidisAlexis Toumi,2022,https://link.springer.com/chapter/10.1007/978-3-030-95538-0_8,Chapter
Future Trends and Emerging Tools,Using AI in Academic Writing and Research,,,,10.1007/978-3-031-91705-9_7,Eldar HaberDariusz JemielniakArtur KurasińskiAleksandra Przegalińska,2025,https://link.springer.com/chapter/10.1007/978-3-031-91705-9_7,Chapter
"Deep learning modelling techniques: current progress, applications, advantages, and challenges",Artificial Intelligence Review,,,,10.1007/s10462-023-10466-8,Shams Forruque AhmedMd. Sakib Bin AlamMaruf HassanMahtabin Rodela RozbuTaoseef IshtiakNazifa RafaM. MofijurA. B. M. Shawkat AliAmir H. Gandomi,2023,https://link.springer.com/article/10.1007/s10462-023-10466-8,Article
Integrating AI-driven marketing analytics techniques into the classroom: pedagogical strategies for enhancing student engagement and future business success,Journal of Marketing Analytics,,,,10.1057/s41270-023-00281-z,Kamaal Allil,2024,https://link.springer.com/article/10.1057/s41270-023-00281-z,Article
Artificial intelligence (AI) advancements for transportation security: in-depth insights into electric and aerial vehicle systems,"Environment, Development and Sustainability",,,,10.1007/s10668-024-04790-4,Gulshan KumarAli Altalbe,2024,https://link.springer.com/article/10.1007/s10668-024-04790-4,Article
"Graph neural networks: Historical backgrounds, present revolutions, and conventionalization for the future",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00797-w,Sozan S. MaghdidTarik A. RashidShavan K. Askar,2025,https://link.springer.com/article/10.1007/s41060-025-00797-w,Article
A light-weight quantum self-attention model for classical data classification,Applied Intelligence,,,,10.1007/s10489-024-05337-w,Hui ZhangQinglin ZhaoChuangtao Chen,2024,https://link.springer.com/article/10.1007/s10489-024-05337-w,Article
"Thinking Machines, Thinking Minds: AI and Cognitive Science",New Kind of Machine Learning–Cellular Automata Model,,,,10.1007/978-981-96-1501-8_1,Parimal Pal ChaudhuriAdip DuttaSomshubhro Pal ChoudhuryDipanwita Roy ChowdhuryRaju Hazari,2025,https://link.springer.com/chapter/10.1007/978-981-96-1501-8_1,Chapter
Quantum Computing and AI: Synergizing for Sustainable Disaster Management in Industry 6.0,The Rise of Quantum Computing in Industry 6.0 Towards Sustainability,,,,10.1007/978-3-031-73350-5_3,Lingala ThirupathiThejoramnaresh Reddy BoyaSaritha GattojuEttireddy Sriha Reddy,2024,https://link.springer.com/chapter/10.1007/978-3-031-73350-5_3,Chapter
Quantum software engineering and potential of quantum computing in software engineering research: a review,Automated Software Engineering,,,,10.1007/s10515-025-00493-w,Ashis Kumar MandalMd NadimChanchal K. RoyBanani RoyKevin A. Schneider,2025,https://link.springer.com/article/10.1007/s10515-025-00493-w,Article
Artificial Intelligence Algorithms and Models for Embodied Agents: Enhancing Autonomy in Drones and Robots,"Building Embodied AI Systems: The Agents, the Architecture Principles, Challenges, and Application Domains",,,,10.1007/978-3-031-68256-8_5,Gnanasankaran NatarajanElakkiya ElangoB. SundaravadivazhaganSandha Rethinam,2024,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_5,Chapter
"Contemporary Quantum Computing Use Cases: Taxonomy, Review and Challenges",Archives of Computational Methods in Engineering,,,,10.1007/s11831-022-09809-5,Jaiteg SinghKamalpreet Singh Bhangu,2022,https://link.springer.com/article/10.1007/s11831-022-09809-5,Article
A summit on a Global Patient co-Owned Cloud (GPOC),BMC Digital Health,,,,10.1186/s44247-024-00112-w,Niklas LidströmerJoe DavidsMohamed ElSharkawyHutan AshrafianEric Herlenius,2024,https://link.springer.com/article/10.1186/s44247-024-00112-w,Article
AI integration in financial services: a systematic review of trends and regulatory challenges,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04850-8,Darko B. VukovićSenanu Dekpo-AdzaStefana Matović,2025,https://link.springer.com/article/10.1057/s41599-025-04850-8,Article
Integration of&#xa0;Machine Learning with&#xa0;Quantum Annealing,Advanced Information Networking and Applications,,,,10.1007/978-3-031-57870-0_30,Hadi SalloumHamza Shafee AldaghstanyOsama OrabiAhmad HaidarMohammad Reza BahramiManuel Mazzara,2024,https://link.springer.com/chapter/10.1007/978-3-031-57870-0_30,Conference paper
Cognitive Computing,Cognitive Computing for Machine Thinking,,,,10.1007/978-981-97-0452-1_5,Makarand R. VelankarParikshit N. MahalleGitanjali R. Shinde,2024,https://link.springer.com/chapter/10.1007/978-981-97-0452-1_5,Chapter
"Measuring the Connection Between Open Innovation, Dynamic Capabilities, and LinkedIn in Tech-Based Companies",Journal of the Knowledge Economy,,,,10.1007/s13132-024-02343-8,José N. Franco-RiquelmeAlberto TejeroLuis RubalcabaJoaquín B. Ordieres-Meré,2024,https://link.springer.com/article/10.1007/s13132-024-02343-8,Article
Leveraging Quantum Computing for Enhanced Decision Support in Disaster Management,The Rise of Quantum Computing in Industry 6.0 Towards Sustainability,,,,10.1007/978-3-031-73350-5_6,Shugufta FatimaC Kishor Kumar ReddyAnindya NagSahithi Reddy Pullannagari,2024,https://link.springer.com/chapter/10.1007/978-3-031-73350-5_6,Chapter
Quantum neural networks successfully calibrate language models,Quantum Machine Intelligence,,,,10.1007/s42484-024-00139-2,Jogi Suda NetoLluis Quiles ArdilaThiago Nascimento NogueiraFelipe AlbuquerqueJoão Paulo PapaRodrigo Capobianco GuidoFelipe Fernandes Fanchini,2024,https://link.springer.com/article/10.1007/s42484-024-00139-2,Article
Development of Translation Studies in the New Millenium,Multidisciplinary Insights into Translation Studies,,,,10.1007/978-3-031-87205-1_2,Jozef Štefčík,2025,https://link.springer.com/chapter/10.1007/978-3-031-87205-1_2,Chapter
A review on quantum computing and deep learning algorithms and their applications,Soft Computing,,,,10.1007/s00500-022-07037-4,Fevrier ValdezPatricia Melin,2022,https://link.springer.com/article/10.1007/s00500-022-07037-4,Article
Treating Speech as Personally Identifiable Information and Its Impact in Machine Translation,Towards Responsible Machine Translation,,,,10.1007/978-3-031-14689-3_11,Isabel TrancosoFrancisco TeixeiraCatarina BotelhoAlberto Abad,2023,https://link.springer.com/chapter/10.1007/978-3-031-14689-3_11,Chapter
A brief review of hypernetworks in deep learning,Artificial Intelligence Review,,,,10.1007/s10462-024-10862-8,Vinod Kumar ChauhanJiandong ZhouPing LuSoheila MolaeiDavid A. Clifton,2024,https://link.springer.com/article/10.1007/s10462-024-10862-8,Article
QViLa: Quantum Infused Vision-Language Model for Enhanced Multimodal Understanding,SN Computer Science,,,,10.1007/s42979-024-03398-9,K. MukeshS. L. JayaprakashR. Prasanna Kumar,2024,https://link.springer.com/article/10.1007/s42979-024-03398-9,Article
The Applications of Quantum Machine Learning in Today's World,Advances in Quantum Inspired Artificial Intelligence,,,,10.1007/978-3-031-89905-8_9,Utkarsh KediaSumedh JoshiTrilok Nath PandeyPankaj Shukla,2025,https://link.springer.com/chapter/10.1007/978-3-031-89905-8_9,Chapter
The Development of Artificial Intelligence and Machine Learning: Applications in Financial Services,"Artificial Intelligence in Accounting, Auditing and Finance",,,,10.1007/978-3-031-87368-3_2,Collins Achepsah Leke,2025,https://link.springer.com/chapter/10.1007/978-3-031-87368-3_2,Chapter
Binarized spiking neural networks optimized with Nomadic People Optimization-based sentiment analysis for social product recommendation,Knowledge and Information Systems,,,,10.1007/s10115-023-01956-w,Gaurav AgarwalShail Kumar DinkarAjay Agarwal,2023,https://link.springer.com/article/10.1007/s10115-023-01956-w,Article
Supervised Question Classification on SelQA Dataset Using Variational Quantum Classifiers,International Conference on Innovative Computing and Communications,,,,10.1007/978-981-19-3679-1_60,Pragya KatyayanNisheeth Joshi,2023,https://link.springer.com/chapter/10.1007/978-981-19-3679-1_60,Conference paper
Machine Learning Research Trends in Africa: A 30 Years Overview with Bibliometric Analysis Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-023-09930-z,Absalom E. EzugwuOlaide N. OyeladeAbiodun M. IkotunJeffery O. AgushakaYuh-Shan Ho,2023,https://link.springer.com/article/10.1007/s11831-023-09930-z,Article
Future Directions and Innovations,Navigating Complexity,,,,10.1007/978-3-031-82742-6_7,Hassan Qudrat-Ullah,2025,https://link.springer.com/chapter/10.1007/978-3-031-82742-6_7,Chapter
"A Study of Machine Learning Dynamics: Algorithms, Applications, and Fundamental Frameworks",Proceedings of International Conference on Communication and Computational Technologies,,,,10.1007/978-981-97-7426-5_4,ShainkyAsha Ambhaikar,2025,https://link.springer.com/chapter/10.1007/978-981-97-7426-5_4,Conference paper
Introduction to Machine Learning and Artificial Intelligence in Banking and Finance,Applications of Block Chain technology and Artificial Intelligence,,,,10.1007/978-3-031-47324-1_14,Anand Kumar MishraAmit Kumar TyagiRichaSubhra Rani Patra,2024,https://link.springer.com/chapter/10.1007/978-3-031-47324-1_14,Chapter
"Secondary use of health records for prediction, detection, and treatment planning in the clinical decision support system: a systematic review",BMC Medical Informatics and Decision Making,,,,10.1186/s12911-025-03021-8,Dipendra PantØystein NytrøBennett L. LeventhalCarolyn ClausenKaban KoochakpourLine StienOdd Sverre WestbyeRoman KoposovThomas Brox RøstThomas FrodlNorbert Skokauskas,2025,https://link.springer.com/article/10.1186/s12911-025-03021-8,Article
LSTM and BERT based transformers models for cyber threat intelligence for intent identification of social media platforms exploitation from darknet forums,International Journal of Information Technology,,,,10.1007/s41870-024-02077-5,Kanti Singh SangherArchana SinghHari Mohan Pandey,2024,https://link.springer.com/article/10.1007/s41870-024-02077-5,Article
"Integrating artificial intelligence in industry 4.0: insights, challenges, and future prospects–a literature review",Annals of Operations Research,,,,10.1007/s10479-024-06012-6,Abd El Hedi Gabsi,2024,https://link.springer.com/article/10.1007/s10479-024-06012-6,Article
Optimizing web page retrieval performance with advanced query expansion: leveraging ChatGPT and metadata-driven analysis,The Journal of Supercomputing,,,,10.1007/s11227-025-07008-0,Ali A. AlaniAdil Al-Azzawi,2025,https://link.springer.com/article/10.1007/s11227-025-07008-0,Article
Evolution of Generative AI,Generative AI in Banking Financial Services and Insurance,,,,10.1007/979-8-8688-0559-2_1,Anshul SaxenaShalaka VermaJayant Mahajan,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0559-2_1,Chapter
Artificial intelligence for system security assurance: A systematic literature review,International Journal of Information Security,,,,10.1007/s10207-024-00959-0,Shao-Fang WenAnkur ShuklaBasel Katt,2024,https://link.springer.com/article/10.1007/s10207-024-00959-0,Article
Fundamentals of Artificial Intelligence in Healthcare,Emerging Technologies in Healthcare 4.0,,,,10.1007/979-8-8688-1014-5_2,Dr. Alok Kumar SrivastavDr. Priyanka Das,2024,https://link.springer.com/chapter/10.1007/979-8-8688-1014-5_2,Chapter
AI in Financial Decision-Making,Computer Vision and Robotics,,,,10.1007/978-981-97-8868-2_22,Aaryan GuptaMayank Puri GoswamiPratyush TakVarun Tiwari,2025,https://link.springer.com/chapter/10.1007/978-981-97-8868-2_22,Conference paper
Implementation of Machine Learning and Deep Learning in Finance,Cybersecurity and Artificial Intelligence,,,,10.1007/978-3-031-52272-7_3,Dilek CelikSonal Jain,2024,https://link.springer.com/chapter/10.1007/978-3-031-52272-7_3,Chapter
